iter	RMSE
969	24348.55001
970	24337.47711
971	24329.11544
972	24325.17781
973	24303.50071
974	24278.15645
975	24255.68972
976	24236.66769
977	24226.12915
978	24214.16766
979	24203.03537
980	24198.33055
981	24178.97119
982	24160.44038
983	24133.67732
984	24123.73584
985	24116.55691
986	24106.78754
987	24106.62427
988	24094.51614
989	24077.50839
990	24066.57156
991	24023.44043
992	24011.44434
993	24006.06841
994	23978.00701
995	23938.67277
996	23922.29967
997	23907.86045
998	23879.87342
999	23862.874
